Date,Kansas City Points,Tampa Bay Points,Home,Visitor,Winer,Difference
2/7/2021,9,31,Tampa Bay Buccaneers,Kansas City Chiefs,Tampa Bay Buccaneers,22
11/29/2020,27,24,Tampa Bay Buccaneers,Kansas City Chiefs,Kansas City Chiefs,13
11/20/2016,17,19,Kansas City Chiefs,Tampa Bay Buccaneers,Tampa Bay Buccaneers,2
10/14/2012,10,38,Tampa Bay Buccaneers,Kansas City Chiefs,Tampa Bay Buccaneers,28
11/2/2008,27,30,Kansas City Chiefs,Tampa Bay Buccaneers,Tampa Bay Buccaneers,3
11/7/2004,31,34,Tampa Bay Buccaneers,Kansas City Chiefs,Tampa Bay Buccaneers,3
11/14/1999,10,17,Tampa Bay Buccaneers,Kansas City Chiefs,Tampa Bay Buccaneers,7
9/5/1993,27,3,Tampa Bay Buccaneers,Kansas City Chiefs,Kansas City Chiefs,24
10/26/1986,24,20,Kansas City Chiefs,Tampa Bay Buccaneers,Kansas City Chiefs,4
10/28/1984,19,20,Kansas City Chiefs,Tampa Bay Buccaneers,Kansas City Chiefs,1
9/13/1981,19,10,Kansas City Chiefs,Tampa Bay Buccaneers,Kansas City Chiefs,9
12/16/1979,0,3,Tampa Bay Buccaneers,Kansas City Chiefs,Tampa Bay Buccaneers,3
10/8/1978,13,30,Kansas City Chiefs,Tampa Bay Buccaneers,Tampa Bay Buccaneers,17
10/31/1976,28,19,Tampa Bay Buccaneers,Kansas City Chiefs,Kansas City Chiefs,9
